sku,name,main_category,price,weight_grams,description_temp,composition_temp,source_note
,Сет «Наконец-то весна»,Сеты,1999,,Сет из нескольких позиций. Уточнить состав вручную.,,"Временное описание, собрано автоматически из menu-master.csv / ТТК."
,Сет амур,Сеты,1399,,Сет из нескольких позиций. Уточнить состав вручную.,,"Временное описание, собрано автоматически из menu-master.csv / ТТК."
,Суши торт,Сеты,10000,,Сет из нескольких позиций. Уточнить состав вручную.,,"Временное описание, собрано автоматически из menu-master.csv / ТТК."
570,Сет РОЖДЕСТВЕНСКИЙ,Сеты,2690,,Сет из нескольких позиций. Уточнить состав вручную.,,"Временное описание, собрано автоматически из menu-master.csv / ТТК."
320,сет ПО-КАЙФУ,Сеты,1299,,"В набор входят: (по кайфу) зап с цыплёнком, (по кайфу) в огруце, ЛАВА С КРЕВЕТКОЙ, ЛАЙТ ФИЛАДЕЛЬФИЯ С ОГУРЦОМ.","(по кайфу) зап с цыплёнком, (по кайфу) в огруце, ЛАВА С КРЕВЕТКОЙ, ЛАЙТ ФИЛАДЕЛЬФИЯ С ОГУРЦОМ","Временное описание, собрано автоматически из menu-master.csv / ТТК."
401,сет ОСТРЫЙ СТАРТ,Сеты,969,,"В набор входят: БЕЛАЯ ФИЛАДЕЛЬФИЯ, ТОРТИЛЬЯ ЕВГЕШОК, ЗАП КУРА ШИИТАКЕ.","БЕЛАЯ ФИЛАДЕЛЬФИЯ, ТОРТИЛЬЯ ЕВГЕШОК, ЗАП КУРА ШИИТАКЕ","Временное описание, собрано автоматически из menu-master.csv / ТТК."
403,сет Морской,Сеты,929,,"В набор входят: (морской) ЗАП С КРЕВЕТКОЙ 8шт, (морской) зап с лососем 8шт, (морской) зап с мидиями 8шт.","(морской) ЗАП С КРЕВЕТКОЙ 8шт, (морской) зап с лососем 8шт, (морской) зап с мидиями 8шт","Временное описание, собрано автоматически из menu-master.csv / ТТК."
284,сет ЗАПЕЧЕННЫЙ КВАРТЕТ,Сеты,888,,"В набор входят: ЗАП КУРА ШИИТАКЕ, ЗАП КАППА, ЗАП С КУРОЙ, ЗАП ТЕРИЯКИ.","ЗАП КУРА ШИИТАКЕ, ЗАП КАППА, ЗАП С КУРОЙ, ЗАП ТЕРИЯКИ","Временное описание, собрано автоматически из menu-master.csv / ТТК."
406,сет БОЛЬШАЯ КОМПАНИЯ,Сеты,2099,,"В набор входят: ГОР БАРБЕКЮ, ЗАП ЭБИ ТОМАГО, филадельфия ТЕМПУРА, ФУДЗИЯМА, КАТАНА, ЗАП С КУРОЙ, МАКИ КРАБ, ЛАВА С ЛОСОСЕМ ТЕРИЯКИ.","ГОР БАРБЕКЮ, ЗАП ЭБИ ТОМАГО, филадельфия ТЕМПУРА, ФУДЗИЯМА, КАТАНА, ЗАП С КУРОЙ, МАКИ КРАБ, ЛАВА С ЛОСОСЕМ ТЕРИЯКИ","Временное описание, собрано автоматически из menu-master.csv / ТТК."
404,МИНИ БОКС ЗАПЕЧЁННЫЙ,Сеты,839,,"В набор входят: (сет4мини) ЗАП БОНИТО 6шт, (сет 4мини) ЗАП С КРЕВЕТКОЙ 6шт, ЗАП С ЛОСОСЕМ.","(сет4мини) ЗАП БОНИТО 6шт, (сет 4мини) ЗАП С КРЕВЕТКОЙ 6шт, ЗАП С ЛОСОСЕМ","Временное описание, собрано автоматически из menu-master.csv / ТТК."
402,сет ЗАПЕЧЁННАЯ ТРОЙКА,Сеты,779,,"В набор входят: (сет2) ЗАП ЭБИ ТОМАГО 8шт, (сет 2) ЗАП КУРА ШИИТАКЕ 8шт, (сет 2) ЗАП ТЕРИЯКИ 8шт.","(сет2) ЗАП ЭБИ ТОМАГО 8шт, (сет 2) ЗАП КУРА ШИИТАКЕ 8шт, (сет 2) ЗАП ТЕРИЯКИ 8шт","Временное описание, собрано автоматически из menu-master.csv / ТТК."
286,сет ВСТРЕЧА,Сеты,1799,,"В набор входят: ЗАП КАППА, ЯКУ, ЛАЙТ ФИЛАДЕЛЬФИЯ, КАЛИФОРНИЯ КЛАССИЧЕСКАЯ, ЗАП ТЕРИЯКИ, ЗАП С КУРОЙ, ЗАП КУРА ШИИТАКЕ.","ЗАП КАППА, ЯКУ, ЛАЙТ ФИЛАДЕЛЬФИЯ, КАЛИФОРНИЯ КЛАССИЧЕСКАЯ, ЗАП ТЕРИЯКИ, ЗАП С КУРОЙ, ЗАП КУРА ШИИТАКЕ","Временное описание, собрано автоматически из menu-master.csv / ТТК."
287,сет ДРУЖБА,Сеты,1899,,"В набор входят: ТОРТИЛЬЯ КАЙ, ЛАВА С ЛОСОСЕМ ТЕРИЯКИ, КАНИ ИКУРА, КРАБ ТЕМПУРА, ЧИКЕН МАКИ, СЛИВОЧНЫЙ МАСАГО, ФУДЗИЯМА.","ТОРТИЛЬЯ КАЙ, ЛАВА С ЛОСОСЕМ ТЕРИЯКИ, КАНИ ИКУРА, КРАБ ТЕМПУРА, ЧИКЕН МАКИ, СЛИВОЧНЫЙ МАСАГО, ФУДЗИЯМА","Временное описание, собрано автоматически из menu-master.csv / ТТК."
020,сет ДРАКОНЫ,Сеты,2249,,"В набор входят: (БАРХ, ДРАКОН) СЛИВОЧНАЯ КРЕВЕТКА, (ДРАКОН) СЛИВОЧНЫЙ УГОРЬ, (ДРАКОН) СЛИВОЧНЫЙ ЛОСОСЬ.","(БАРХ, ДРАКОН) СЛИВОЧНАЯ КРЕВЕТКА, (ДРАКОН) СЛИВОЧНЫЙ УГОРЬ, (ДРАКОН) СЛИВОЧНЫЙ ЛОСОСЬ","Временное описание, собрано автоматически из menu-master.csv / ТТК."
198,сет ДОБРО,Сеты,1999,,"В набор входят: ЗАП ЭБИ ТОМАГО, ЗАП С КУРОЙ, МАКИ КРАБ, ГОР БАРБЕКЮ, ФУДЗИЯМА, РЕД МОДЕЛЬ, филадельфия ТЕМПУРА.","ЗАП ЭБИ ТОМАГО, ЗАП С КУРОЙ, МАКИ КРАБ, ГОР БАРБЕКЮ, ФУДЗИЯМА, РЕД МОДЕЛЬ, филадельфия ТЕМПУРА","Временное описание, собрано автоматически из menu-master.csv / ТТК."
